replay,cell_id,mutant_id,bypassed_stage,stage,stage_step,returncode,classification,classification_reason,argv_sha256,output_sha256,diagnostic_excerpt,diagnostic_truncated,collected_tests
1,r1-G-LAY-01-bypass-ruff_format,G-LAY-01,ruff_format,pytest,full-suite,0,pass,exit_zero,59ff1b29e4a0fc7405ce8c1ea1c7d35678f33925922bf71228db2ac561d8e987,cee5b179a06e5a174b632890f596d940155eab0f5dd257e083cca3cdc4bffe6a,,False,6405
1,r1-G-LAY-01-bypass-ruff_lint,G-LAY-01,ruff_lint,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-01-bypass-ruff_lint,G-LAY-01,ruff_lint,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-LAY-01-bypass-mypy,G-LAY-01,mypy,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-01-bypass-mypy,G-LAY-01,mypy,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-LAY-01-bypass-pytest,G-LAY-01,pytest,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-01-bypass-pytest,G-LAY-01,pytest,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-LAY-02-bypass-none,G-LAY-02,none,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-02-bypass-none,G-LAY-02,none,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-LAY-02-bypass-ruff_format,G-LAY-02,ruff_format,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-02-bypass-ruff_format,G-LAY-02,ruff_format,ruff_lint,check,0,pass,exit_zero,6229805724b31a58117d468c97a1c9988c29b6d79e4ca5fdb9378d4c5ca10b73,98733c3446b52dc3e6b6943142b19a142025d9727521f6abc3783a20e4b6d3c6,,False,
1,r1-G-LAY-02-bypass-ruff_format,G-LAY-02,ruff_format,mypy,strict,0,pass,exit_zero,834077835073e816b06c9b207206c2e815ef6118d1475dca61bdd28d1ec5f15f,0a870edc97be5bcdbb96e8fdd44244d55042f27e7deb10429870ea21a74559b5,,False,
1,r1-G-LAY-02-bypass-ruff_format,G-LAY-02,ruff_format,pytest,full-suite,0,pass,exit_zero,59ff1b29e4a0fc7405ce8c1ea1c7d35678f33925922bf71228db2ac561d8e987,cee5b179a06e5a174b632890f596d940155eab0f5dd257e083cca3cdc4bffe6a,,False,6405
1,r1-G-LAY-02-bypass-ruff_lint,G-LAY-02,ruff_lint,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-02-bypass-ruff_lint,G-LAY-02,ruff_lint,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-LAY-02-bypass-mypy,G-LAY-02,mypy,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-02-bypass-mypy,G-LAY-02,mypy,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-LAY-02-bypass-pytest,G-LAY-02,pytest,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-02-bypass-pytest,G-LAY-02,pytest,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-LAY-03-bypass-none,G-LAY-03,none,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-03-bypass-none,G-LAY-03,none,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-LAY-03-bypass-ruff_format,G-LAY-03,ruff_format,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-03-bypass-ruff_format,G-LAY-03,ruff_format,ruff_lint,check,0,pass,exit_zero,6229805724b31a58117d468c97a1c9988c29b6d79e4ca5fdb9378d4c5ca10b73,98733c3446b52dc3e6b6943142b19a142025d9727521f6abc3783a20e4b6d3c6,,False,
1,r1-G-LAY-03-bypass-ruff_format,G-LAY-03,ruff_format,mypy,strict,0,pass,exit_zero,834077835073e816b06c9b207206c2e815ef6118d1475dca61bdd28d1ec5f15f,0a870edc97be5bcdbb96e8fdd44244d55042f27e7deb10429870ea21a74559b5,,False,
1,r1-G-LAY-03-bypass-ruff_format,G-LAY-03,ruff_format,pytest,full-suite,0,pass,exit_zero,59ff1b29e4a0fc7405ce8c1ea1c7d35678f33925922bf71228db2ac561d8e987,cee5b179a06e5a174b632890f596d940155eab0f5dd257e083cca3cdc4bffe6a,,False,6405
1,r1-G-LAY-03-bypass-ruff_lint,G-LAY-03,ruff_lint,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-03-bypass-ruff_lint,G-LAY-03,ruff_lint,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-LAY-03-bypass-mypy,G-LAY-03,mypy,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-03-bypass-mypy,G-LAY-03,mypy,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-LAY-03-bypass-pytest,G-LAY-03,pytest,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-03-bypass-pytest,G-LAY-03,pytest,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-LAY-04-bypass-none,G-LAY-04,none,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-04-bypass-none,G-LAY-04,none,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-LAY-04-bypass-ruff_format,G-LAY-04,ruff_format,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-04-bypass-ruff_format,G-LAY-04,ruff_format,ruff_lint,check,0,pass,exit_zero,6229805724b31a58117d468c97a1c9988c29b6d79e4ca5fdb9378d4c5ca10b73,98733c3446b52dc3e6b6943142b19a142025d9727521f6abc3783a20e4b6d3c6,,False,
1,r1-G-LAY-04-bypass-ruff_format,G-LAY-04,ruff_format,mypy,strict,0,pass,exit_zero,834077835073e816b06c9b207206c2e815ef6118d1475dca61bdd28d1ec5f15f,0a870edc97be5bcdbb96e8fdd44244d55042f27e7deb10429870ea21a74559b5,,False,
1,r1-G-LAY-04-bypass-ruff_format,G-LAY-04,ruff_format,pytest,full-suite,0,pass,exit_zero,59ff1b29e4a0fc7405ce8c1ea1c7d35678f33925922bf71228db2ac561d8e987,cee5b179a06e5a174b632890f596d940155eab0f5dd257e083cca3cdc4bffe6a,,False,6405
1,r1-G-LAY-04-bypass-ruff_lint,G-LAY-04,ruff_lint,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-04-bypass-ruff_lint,G-LAY-04,ruff_lint,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-LAY-04-bypass-mypy,G-LAY-04,mypy,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-04-bypass-mypy,G-LAY-04,mypy,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-LAY-04-bypass-pytest,G-LAY-04,pytest,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-LAY-04-bypass-pytest,G-LAY-04,pytest,ruff_format,check,1,controlled_rejection,ruff_documented_rejection,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,8c2824125524b1e12c4cd6626e040d7a62821c382a77506ec08eb1f5474bebcb,"Would reformat: idna\core.py
1 file would be reformatted, 9 files already formatted

",False,
1,r1-G-PAR-01-bypass-none,G-PAR-01,none,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-PAR-01-bypass-none,G-PAR-01,none,ruff_format,check,0,pass,exit_zero,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,6b6cfc8efdccff3ce4604333318687e1c05d6288bae4ace57a05f30121790d33,,False,
1,r1-G-PAR-01-bypass-none,G-PAR-01,none,ruff_lint,check,0,pass,exit_zero,6229805724b31a58117d468c97a1c9988c29b6d79e4ca5fdb9378d4c5ca10b73,98733c3446b52dc3e6b6943142b19a142025d9727521f6abc3783a20e4b6d3c6,,False,
1,r1-G-PAR-01-bypass-none,G-PAR-01,none,mypy,strict,0,pass,exit_zero,834077835073e816b06c9b207206c2e815ef6118d1475dca61bdd28d1ec5f15f,0a870edc97be5bcdbb96e8fdd44244d55042f27e7deb10429870ea21a74559b5,,False,
1,r1-G-PAR-01-bypass-none,G-PAR-01,none,pytest,full-suite,1,controlled_rejection,pytest_failure_report,59ff1b29e4a0fc7405ce8c1ea1c7d35678f33925922bf71228db2ac561d8e987,b4b7caa06c528a2e32619cd6abf5f1cbe3eb962d20e0845e1d712e11dcd7b920,"TARGET_ORIGIN_OK
COLLECTED_TESTS=6405
..............F......................................................... [  1%]
........................................................................ [  2%]
........................................................................ [  3%]
........................................................................ [  4%]
........................................................................ [  5%]
........................................................................ [  6%]
........................................................................ [  7%]
........................................................................ [  8%]
........................................................................ [ 10%]
........................................................................ [ 11%]
........................................................................ [ 12%]
........................................................................ [ 13%]
........................................................................ [ 14%]
........................................................................ [ 15%]
........................................................................ [ 16%]
........................................................................ [ 17%]
........................................................................ [ 19%]
........................................................................ [ 20%]
........................................................................ [ 21%]
........................................................................ [ 22%]
........................................................................ [ 23%]
........................................................................ [ 24%]
........................................................................ [ 25%]
........................................................................ [ 26%]
........................................................................ [ 28%]
........................................................................ [ 29%]
........................................................................ [ 30%]
........................................................................ [ 31%]
........................................................................ [ 32%]
........................................................................ [ 33%]
........................................................................ [ 34%]
........................................................................ [ 35%]
........................................................................ [ 37%]
........................................................................ [ 38%]
........................................................................ [ 39%]
........................................................................ [ 40%]
........................................................................ [ 41%]
........................................................................ [ 42%]
........................................................................ [ 43%]
........................................................................ [ 44%]
........................................................................ [ 46%]
........................................................................ [ 47%]
........................................................................ [ 48%]
........................................................................ [ 49%]
........................................................................ [ 50%]
........................................................................ [ 51%]
........................................................................ [ 52%]
........................................................................ [ 53%]
........................................................................ [ 55%]
........................................................................ [ 56%]
........................................................................ [ 57%]
........................................................................ [ 58%]
........................................................................ [ 59%]
........................................................................ [ 60%]
........................................................................ [ 61%]
........................................................................ [ 62%]
...............................................................F........ [ 64%]
..F..................................................................... [ 65%]
........................................................................ [ 66%]
........................................................................ [ 67%]
........................................................................ [ 68%]
........................................................................ [ 69%]
........................................................................ [ 70%]
........................................................................ [ 71%]
........................................................................ [ 73%]
........................................................................ [ 74%]
........................................................................ [ 75%]
........................................................................ [ 76%]
........................................................................ [ 77%]
........................................................................ [ 78%]
........................................................................ [ 79%]
........................................................................ [ 80%]
........................................................................ [ 82%]
........................................................................ [ 83%]
........................................................................ [ 84%]
........................................................................ [ 85%]
........................................................................ [ 86%]
........................................................................ [ 87%]
........................................................................ [ 88%]
........................................................................ [ 89%]
........................................................................ [ 91%]
........................................................................ [ 92%]
........................................................................ [ 93%]
........................................................................ [ 94%]
........................................................................ [ 95%]
........................................................................ [ 96%]
........................................................................ [ 97%]
........................................................................ [ 98%]
.....................................................................    [100%]
=========================== short test summary info ===========================
FAILED tests/test_idna.py::IDNATests::test_valid_contexto - TypeError: ord() ...
FAILED tests/test_idna_uts46.py::UTS46Tests::test_uts46_471 - TypeError: ord(...
FAILED tests/test_idna_uts46.py::UTS46Tests::test_uts46_472 - TypeError: ord(...

",False,6405
1,r1-G-PAR-01-bypass-ruff_format,G-PAR-01,ruff_format,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-PAR-01-bypass-ruff_format,G-PAR-01,ruff_format,ruff_lint,check,0,pass,exit_zero,6229805724b31a58117d468c97a1c9988c29b6d79e4ca5fdb9378d4c5ca10b73,98733c3446b52dc3e6b6943142b19a142025d9727521f6abc3783a20e4b6d3c6,,False,
1,r1-G-PAR-01-bypass-ruff_format,G-PAR-01,ruff_format,mypy,strict,0,pass,exit_zero,834077835073e816b06c9b207206c2e815ef6118d1475dca61bdd28d1ec5f15f,0a870edc97be5bcdbb96e8fdd44244d55042f27e7deb10429870ea21a74559b5,,False,
1,r1-G-PAR-01-bypass-ruff_format,G-PAR-01,ruff_format,pytest,full-suite,1,controlled_rejection,pytest_failure_report,59ff1b29e4a0fc7405ce8c1ea1c7d35678f33925922bf71228db2ac561d8e987,b4b7caa06c528a2e32619cd6abf5f1cbe3eb962d20e0845e1d712e11dcd7b920,"TARGET_ORIGIN_OK
COLLECTED_TESTS=6405
..............F......................................................... [  1%]
........................................................................ [  2%]
........................................................................ [  3%]
........................................................................ [  4%]
........................................................................ [  5%]
........................................................................ [  6%]
........................................................................ [  7%]
........................................................................ [  8%]
........................................................................ [ 10%]
........................................................................ [ 11%]
........................................................................ [ 12%]
........................................................................ [ 13%]
........................................................................ [ 14%]
........................................................................ [ 15%]
........................................................................ [ 16%]
........................................................................ [ 17%]
........................................................................ [ 19%]
........................................................................ [ 20%]
........................................................................ [ 21%]
........................................................................ [ 22%]
........................................................................ [ 23%]
........................................................................ [ 24%]
........................................................................ [ 25%]
........................................................................ [ 26%]
........................................................................ [ 28%]
........................................................................ [ 29%]
........................................................................ [ 30%]
........................................................................ [ 31%]
........................................................................ [ 32%]
........................................................................ [ 33%]
........................................................................ [ 34%]
........................................................................ [ 35%]
........................................................................ [ 37%]
........................................................................ [ 38%]
........................................................................ [ 39%]
........................................................................ [ 40%]
........................................................................ [ 41%]
........................................................................ [ 42%]
........................................................................ [ 43%]
........................................................................ [ 44%]
........................................................................ [ 46%]
........................................................................ [ 47%]
........................................................................ [ 48%]
........................................................................ [ 49%]
........................................................................ [ 50%]
........................................................................ [ 51%]
........................................................................ [ 52%]
........................................................................ [ 53%]
........................................................................ [ 55%]
........................................................................ [ 56%]
........................................................................ [ 57%]
........................................................................ [ 58%]
........................................................................ [ 59%]
........................................................................ [ 60%]
........................................................................ [ 61%]
........................................................................ [ 62%]
...............................................................F........ [ 64%]
..F..................................................................... [ 65%]
........................................................................ [ 66%]
........................................................................ [ 67%]
........................................................................ [ 68%]
........................................................................ [ 69%]
........................................................................ [ 70%]
........................................................................ [ 71%]
........................................................................ [ 73%]
........................................................................ [ 74%]
........................................................................ [ 75%]
........................................................................ [ 76%]
........................................................................ [ 77%]
........................................................................ [ 78%]
........................................................................ [ 79%]
........................................................................ [ 80%]
........................................................................ [ 82%]
........................................................................ [ 83%]
........................................................................ [ 84%]
........................................................................ [ 85%]
........................................................................ [ 86%]
........................................................................ [ 87%]
........................................................................ [ 88%]
........................................................................ [ 89%]
........................................................................ [ 91%]
........................................................................ [ 92%]
........................................................................ [ 93%]
........................................................................ [ 94%]
........................................................................ [ 95%]
........................................................................ [ 96%]
........................................................................ [ 97%]
........................................................................ [ 98%]
.....................................................................    [100%]
=========================== short test summary info ===========================
FAILED tests/test_idna.py::IDNATests::test_valid_contexto - TypeError: ord() ...
FAILED tests/test_idna_uts46.py::UTS46Tests::test_uts46_471 - TypeError: ord(...
FAILED tests/test_idna_uts46.py::UTS46Tests::test_uts46_472 - TypeError: ord(...

",False,6405
1,r1-G-PAR-01-bypass-ruff_lint,G-PAR-01,ruff_lint,source_probe,resolve,0,pass,exit_zero,6881bf7985d7e67c0e212ee0f27701ba12dc969d6f01dadbced9e27262b2fe29,1f608c8665bfca38df9262e475070263d23be0d3ed7fc16e4ac9b7e1bf54bfa2,,False,
1,r1-G-PAR-01-bypass-ruff_lint,G-PAR-01,ruff_lint,ruff_format,check,0,pass,exit_zero,e689c08c3ed728438fabdebbc165eed0587fe89464ce6128ed121dcc710fd7a8,6b6cfc8efdccff3ce4604333318687e1c05d6288bae4ace57a05f30121790d33,,False,
1,r1-G-PAR-01-bypass-ruff_lint,G-PAR-01,ruff_lint,mypy,strict,0,pass,exit_zero,834077835073e816b06c9b207206c2e815ef6118d1475dca61bdd28d1ec5f15f,0a870edc97be5bcdbb96e8fdd44244d55042f27e7deb10429870ea21a74559b5,,False,
